[20:37:19.481] [INFO   ] thread bguspl.set.Main.main() starting.
[20:37:19.492] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:37:19.499] [SEVERE ] configuration file was loaded from resources directory.
[20:37:20.953] [INFO   ] thread dealer starting.
[20:37:20.954] [INFO   ] thread dealer starting.
[20:37:20.956] [SEVERE ] updating countdown to 20000
[20:37:21.065] [SEVERE ] placing card 7 in slot 0
[20:37:21.166] [SEVERE ] placing card 49 in slot 1
[20:37:21.268] [SEVERE ] placing card 27 in slot 2
[20:37:21.369] [SEVERE ] placing card 46 in slot 3
[20:37:21.471] [SEVERE ] placing card 54 in slot 4
[20:37:21.572] [SEVERE ] placing card 26 in slot 5
[20:37:21.674] [SEVERE ] placing card 30 in slot 6
[20:37:21.776] [SEVERE ] placing card 34 in slot 7
[20:37:21.879] [SEVERE ] placing card 48 in slot 8
[20:37:21.984] [SEVERE ] placing card 12 in slot 9
[20:37:22.087] [SEVERE ] placing card 5 in slot 10
[20:37:22.191] [SEVERE ] placing card 50 in slot 11
[20:37:22.227] [SEVERE ] updating countdown to 18729
[20:37:22.238] [SEVERE ] updating countdown to 18718
[20:37:22.250] [SEVERE ] updating countdown to 18706
[20:37:22.261] [SEVERE ] updating countdown to 18695
[20:37:22.272] [SEVERE ] updating countdown to 18685
[20:37:22.282] [SEVERE ] updating countdown to 18674
[20:37:22.293] [SEVERE ] updating countdown to 18663
[20:37:22.303] [SEVERE ] updating countdown to 18653
[20:37:22.314] [SEVERE ] updating countdown to 18642
[20:37:22.325] [SEVERE ] updating countdown to 18631
[20:37:22.336] [SEVERE ] updating countdown to 18620
[20:37:22.347] [SEVERE ] updating countdown to 18609
[20:37:22.358] [SEVERE ] updating countdown to 18598
[20:37:22.372] [SEVERE ] updating countdown to 18584
[20:37:22.383] [SEVERE ] updating countdown to 18573
[20:37:22.394] [SEVERE ] updating countdown to 18562
[20:37:22.405] [SEVERE ] updating countdown to 18551
[20:37:22.416] [SEVERE ] updating countdown to 18540
[20:37:22.428] [SEVERE ] updating countdown to 18528
[20:37:22.439] [SEVERE ] updating countdown to 18517
[20:37:22.452] [SEVERE ] updating countdown to 18504
[20:37:22.465] [SEVERE ] updating countdown to 18491
[20:37:22.484] [SEVERE ] updating countdown to 18472
[20:37:22.499] [SEVERE ] updating countdown to 18457
[20:37:22.510] [SEVERE ] updating countdown to 18446
[20:37:22.521] [SEVERE ] updating countdown to 18435
[20:37:22.532] [SEVERE ] updating countdown to 18424
[20:37:22.558] [SEVERE ] updating countdown to 18398
[20:37:22.569] [SEVERE ] updating countdown to 18387
[20:37:22.581] [SEVERE ] updating countdown to 18375
[20:37:22.593] [SEVERE ] updating countdown to 18363
[20:37:22.606] [SEVERE ] updating countdown to 18351
[20:37:22.626] [SEVERE ] updating countdown to 18330
[20:37:22.638] [SEVERE ] updating countdown to 18318
[20:37:22.650] [SEVERE ] updating countdown to 18306
[20:37:22.735] [SEVERE ] updating countdown to 18221
[20:37:22.747] [SEVERE ] updating countdown to 18209
[20:37:22.758] [SEVERE ] updating countdown to 18198
[20:37:22.770] [SEVERE ] updating countdown to 18186
[20:37:22.782] [SEVERE ] updating countdown to 18174
[20:37:22.811] [SEVERE ] updating countdown to 18145
[20:37:22.823] [SEVERE ] updating countdown to 18133
[20:37:22.835] [SEVERE ] updating countdown to 18121
[20:37:22.846] [SEVERE ] updating countdown to 18110
[20:37:22.857] [SEVERE ] updating countdown to 18099
[20:37:22.868] [SEVERE ] updating countdown to 18088
[20:37:22.918] [SEVERE ] updating countdown to 18038
[20:37:22.929] [SEVERE ] updating countdown to 18027
[20:37:22.940] [SEVERE ] updating countdown to 18016
[20:37:22.951] [SEVERE ] updating countdown to 18005
[20:37:22.962] [SEVERE ] updating countdown to 17994
[20:37:22.974] [SEVERE ] updating countdown to 17982
[20:37:22.986] [SEVERE ] updating countdown to 17970
[20:37:22.997] [SEVERE ] updating countdown to 17959
[20:37:23.007] [SEVERE ] updating countdown to 17949
[20:37:23.019] [SEVERE ] updating countdown to 17937
[20:37:23.031] [SEVERE ] updating countdown to 17925
[20:37:23.042] [SEVERE ] updating countdown to 17914
[20:37:23.054] [SEVERE ] updating countdown to 17902
[20:37:23.065] [SEVERE ] updating countdown to 17891
[20:37:23.110] [SEVERE ] updating countdown to 17846
[20:37:23.121] [SEVERE ] updating countdown to 17835
[20:37:23.134] [SEVERE ] updating countdown to 17822
[20:37:23.145] [SEVERE ] updating countdown to 17811
[20:37:23.156] [SEVERE ] updating countdown to 17800
[20:37:23.167] [SEVERE ] updating countdown to 17789
[20:37:23.178] [SEVERE ] updating countdown to 17778
[20:37:23.188] [SEVERE ] updating countdown to 17768
[20:37:23.199] [SEVERE ] updating countdown to 17757
[20:37:23.263] [SEVERE ] updating countdown to 17693
[20:37:23.287] [SEVERE ] updating countdown to 17669
[20:37:23.299] [SEVERE ] updating countdown to 17657
[20:37:23.330] [SEVERE ] updating countdown to 17626
[20:37:23.341] [SEVERE ] updating countdown to 17616
[20:37:23.366] [SEVERE ] updating countdown to 17590
[20:37:23.377] [SEVERE ] updating countdown to 17579
[20:37:23.388] [SEVERE ] updating countdown to 17568
[20:37:23.400] [SEVERE ] updating countdown to 17556
[20:37:23.411] [SEVERE ] updating countdown to 17545
[20:37:23.422] [SEVERE ] updating countdown to 17534
[20:37:23.433] [SEVERE ] updating countdown to 17523
[20:37:23.443] [SEVERE ] updating countdown to 17513
[20:37:23.454] [SEVERE ] updating countdown to 17502
[20:37:23.466] [SEVERE ] updating countdown to 17490
[20:37:23.481] [SEVERE ] updating countdown to 17475
[20:37:23.493] [SEVERE ] updating countdown to 17463
